[2021-10-15 03:22:09,580] DEBUG  Recall: 0.019867549668874173,coverage: 0.06583917970858068,novelty: 0.7166627645492554,unexpectedness: 0.9460264900662253,relevance: 0.34295020930914016
[2021-10-15 03:22:09,581] DEBUG  Finished AutoRec, {'hidden_layer_size': 256, 'random_state': 11}
[2021-10-15 03:22:22,441] DEBUG  Started AutoRec, {'hidden_layer_size': 256, 'random_state': 42}
[2021-10-15 03:23:05,739] DEBUG  Recall: 0.024834437086092714,coverage: 0.06556934700485699,novelty: 0.7192258238792419,unexpectedness: 0.8487582781456955,relevance: 0.3453158909965831
[2021-10-15 03:23:05,740] DEBUG  Finished AutoRec, {'hidden_layer_size': 256, 'random_state': 42}
[2021-10-15 03:23:18,430] DEBUG  Started AutoRec, {'hidden_layer_size': 256, 'random_state': 77}
[2021-10-15 03:24:01,788] DEBUG  Recall: 0.020695364238410598,coverage: 0.07204533189422559,novelty: 0.7201797962188721,unexpectedness: 0.8509105960264901,relevance: 0.34375775758078314
[2021-10-15 03:24:01,789] DEBUG  Finished AutoRec, {'hidden_layer_size': 256, 'random_state': 77}
[2021-10-15 03:24:16,428] DEBUG  Started AutoRec, {'hidden_layer_size': 384, 'random_state': 11}
[2021-10-15 03:24:59,918] DEBUG  Recall: 0.024006622516556293,coverage: 0.06691851052347544,novelty: 0.7276402115821838,unexpectedness: 0.846771523178808,relevance: 0.3421303582107724
[2021-10-15 03:24:59,919] DEBUG  Finished AutoRec, {'hidden_layer_size': 384, 'random_state': 11}
[2021-10-15 03:25:15,833] DEBUG  Started AutoRec, {'hidden_layer_size': 384, 'random_state': 42}
[2021-10-15 03:25:58,989] DEBUG  Recall: 0.027317880794701987,coverage: 0.06880733944954129,novelty: 0.7384152412414551,unexpectedness: 0.8580298013245033,relevance: 0.3472727807909552
[2021-10-15 03:25:58,989] DEBUG  Finished AutoRec, {'hidden_layer_size': 384, 'random_state': 42}
[2021-10-15 03:26:12,069] DEBUG  Started AutoRec, {'hidden_layer_size': 384, 'random_state': 77}
[2021-10-15 03:26:55,628] DEBUG  Recall: 0.020695364238410598,coverage: 0.0650296815974096,novelty: 0.7115727066993713,unexpectedness: 0.8560430463576159,relevance: 0.34087402156086705
[2021-10-15 03:26:55,628] DEBUG  Finished AutoRec, {'hidden_layer_size': 384, 'random_state': 77}
[2021-10-15 03:27:06,299] DEBUG  Started AutoRec, {'hidden_layer_size': 512, 'random_state': 11}
[2021-10-15 03:27:49,733] DEBUG  Recall: 0.02152317880794702,coverage: 0.013491635186184566,novelty: 0.4952503740787506,unexpectedness: 0.8668046357615893,relevance: 0.28843694742130455
[2021-10-15 03:27:49,733] DEBUG  Finished AutoRec, {'hidden_layer_size': 512, 'random_state': 11}
[2021-10-15 03:28:00,782] DEBUG  Started AutoRec, {'hidden_layer_size': 512, 'random_state': 42}
[2021-10-15 03:28:44,151] DEBUG  Recall: 0.020695364238410598,coverage: 0.023745277927684834,novelty: 0.5756745934486389,unexpectedness: 0.8375827814569538,relevance: 0.29871275788554374
[2021-10-15 03:28:44,151] DEBUG  Finished AutoRec, {'hidden_layer_size': 512, 'random_state': 42}
[2021-10-15 03:28:55,365] DEBUG  Started AutoRec, {'hidden_layer_size': 512, 'random_state': 77}
[2021-10-15 03:29:38,735] DEBUG  Recall: 0.01903973509933775,coverage: 0.019427954668105773,novelty: 0.5500317215919495,unexpectedness: 0.8274006622516556,relevance: 0.2926310849587567
[2021-10-15 03:29:38,735] DEBUG  Finished AutoRec, {'hidden_layer_size': 512, 'random_state': 77}
[2021-10-15 03:29:55,433] DEBUG  Started AutoRec, {'hidden_layer_size': 768, 'random_state': 11}
[2021-10-15 03:30:38,912] DEBUG  Recall: 0.024006622516556293,coverage: 0.04074473826227739,novelty: 0.6584296822547913,unexpectedness: 0.8147350993377483,relevance: 0.3212498636882956
[2021-10-15 03:30:38,912] DEBUG  Finished AutoRec, {'hidden_layer_size': 768, 'random_state': 11}
[2021-10-15 03:30:47,945] DEBUG  Started AutoRec, {'hidden_layer_size': 768, 'random_state': 42}
[2021-10-15 03:31:31,554] DEBUG  Recall: 0.01903973509933775,coverage: 0.0059363194819212085,novelty: 0.3232142925262451,unexpectedness: 0.6001655629139073,relevance: 0.2573855521247072
[2021-10-15 03:31:31,555] DEBUG  Finished AutoRec, {'hidden_layer_size': 768, 'random_state': 42}
[2021-10-15 03:31:40,098] DEBUG  Started AutoRec, {'hidden_layer_size': 768, 'random_state': 77}
[2021-10-15 03:32:24,455] DEBUG  Recall: 0.01903973509933775,coverage: 0.007015650296815974,novelty: 0.31116971373558044,unexpectedness: 0.6763245033112583,relevance: 0.25777537624038227
[2021-10-15 03:32:24,455] DEBUG  Finished AutoRec, {'hidden_layer_size': 768, 'random_state': 77}
[2021-10-15 03:32:33,305] DEBUG  Started AutoRec, {'hidden_layer_size': 1024, 'random_state': 11}
[2021-10-15 03:33:16,891] DEBUG  Recall: 0.023178807947019868,coverage: 0.006745817593092283,novelty: 0.2893446981906891,unexpectedness: 0.6627483443708609,relevance: 0.2549276641746353
[2021-10-15 03:33:16,891] DEBUG  Finished AutoRec, {'hidden_layer_size': 1024, 'random_state': 11}
[2021-10-15 03:33:35,576] DEBUG  Started AutoRec, {'hidden_layer_size': 1024, 'random_state': 42}
[2021-10-15 03:34:18,942] DEBUG  Recall: 0.028973509933774833,coverage: 0.04533189422558014,novelty: 0.7003253698348999,unexpectedness: 0.7550496688741722,relevance: 0.3271551245329199
[2021-10-15 03:34:18,943] DEBUG  Finished AutoRec, {'hidden_layer_size': 1024, 'random_state': 42}
[2021-10-15 03:34:27,568] DEBUG  Started AutoRec, {'hidden_layer_size': 1024, 'random_state': 77}
[2021-10-15 03:35:10,965] DEBUG  Recall: 0.02152317880794702,coverage: 0.005396654074473826,novelty: 0.279168039560318,unexpectedness: 0.7721854304635761,relevance: 0.2559770274822166
[2021-10-15 03:35:10,965] DEBUG  Finished AutoRec, {'hidden_layer_size': 1024, 'random_state': 77}
[2021-10-15 03:35:19,858] DEBUG  Started AutoRec, {'hidden_layer_size': 1536, 'random_state': 11}
[2021-10-15 03:36:03,396] DEBUG  Recall: 0.023178807947019868,coverage: 0.0059363194819212085,novelty: 0.28576746582984924,unexpectedness: 0.768046357615894,relevance: 0.25186372791642786
[2021-10-15 03:36:03,396] DEBUG  Finished AutoRec, {'hidden_layer_size': 1536, 'random_state': 11}
[2021-10-15 03:36:12,355] DEBUG  Started AutoRec, {'hidden_layer_size': 1536, 'random_state': 42}
[2021-10-15 03:36:55,796] DEBUG  Recall: 0.018211920529801324,coverage: 0.005666486778197518,novelty: 0.3132525682449341,unexpectedness: 0.7624172185430463,relevance: 0.25379716675032704
[2021-10-15 03:36:55,797] DEBUG  Finished AutoRec, {'hidden_layer_size': 1536, 'random_state': 42}
[2021-10-15 03:37:13,057] DEBUG  Started AutoRec, {'hidden_layer_size': 1536, 'random_state': 77}
[2021-10-15 03:37:56,544] DEBUG  Recall: 0.02566225165562914,coverage: 0.04371289800323799,novelty: 0.6963704228401184,unexpectedness: 0.7793874172185431,relevance: 0.32790405793634164
[2021-10-15 03:37:56,544] DEBUG  Finished AutoRec, {'hidden_layer_size': 1536, 'random_state': 77}
[2021-10-15 03:38:12,903] DEBUG  Started AutoRec, {'hidden_layer_size': 2048, 'random_state': 11}
[2021-10-15 03:38:56,582] DEBUG  Recall: 0.020695364238410598,coverage: 0.039665407447382624,novelty: 0.6695957779884338,unexpectedness: 0.7770695364238411,relevance: 0.31795226552881395
[2021-10-15 03:38:56,583] DEBUG  Finished AutoRec, {'hidden_layer_size': 2048, 'random_state': 11}
[2021-10-15 03:39:05,655] DEBUG  Started AutoRec, {'hidden_layer_size': 2048, 'random_state': 42}
[2021-10-15 03:39:50,496] DEBUG  Recall: 0.019867549668874173,coverage: 0.005396654074473826,novelty: 0.27552223205566406,unexpectedness: 0.7880794701986755,relevance: 0.25963706167403805
[2021-10-15 03:39:50,497] DEBUG  Finished AutoRec, {'hidden_layer_size': 2048, 'random_state': 42}
[2021-10-15 03:40:09,852] DEBUG  Started AutoRec, {'hidden_layer_size': 2048, 'random_state': 77}
[2021-10-15 03:40:53,498] DEBUG  Recall: 0.02566225165562914,coverage: 0.04641122504047491,novelty: 0.6470927000045776,unexpectedness: 0.8028973509933774,relevance: 0.3314074549378397
[2021-10-15 03:40:53,499] DEBUG  Finished AutoRec, {'hidden_layer_size': 2048, 'random_state': 77}
[2021-10-15 03:40:53,525] INFO  Grid search ended: AutoRec
[2021-10-15 03:40:53,525] INFO  Saved AutoRec as results\unexp_but_i_fix\AutoRec.joblib
[2021-10-15 03:40:58,157] INFO  Grid search started: KNNpopularity
[2021-10-15 03:40:58,414] DEBUG  Started KNNpopularity, {'k': 5}
[2021-10-15 03:44:00,126] DEBUG  Recall: 0.07533112582781457,coverage: 0.3073394495412844,novelty: 0.8066206574440002,unexpectedness: 0.5572019867549669,relevance: 0.29233816910500726
[2021-10-15 03:44:00,127] DEBUG  Finished KNNpopularity, {'k': 5}
[2021-10-15 03:44:00,388] DEBUG  Started KNNpopularity, {'k': 10}
[2021-10-15 03:47:12,560] DEBUG  Recall: 0.08112582781456953,coverage: 0.2366432811656773,novelty: 0.7820445895195007,unexpectedness: 0.3402317880794702,relevance: 0.2932451787010204
[2021-10-15 03:47:12,560] DEBUG  Finished KNNpopularity, {'k': 10}
[2021-10-15 03:47:12,821] DEBUG  Started KNNpopularity, {'k': 15}
[2021-10-15 03:50:29,194] DEBUG  Recall: 0.08609271523178808,coverage: 0.2050728548300054,novelty: 0.7544700503349304,unexpectedness: 0.0,relevance: 0.2928664837924969
[2021-10-15 03:50:29,194] DEBUG  Finished KNNpopularity, {'k': 15}
[2021-10-15 03:50:29,456] DEBUG  Started KNNpopularity, {'k': 20}
[2021-10-15 03:53:51,935] DEBUG  Recall: 0.0836092715231788,coverage: 0.1829465731246627,novelty: 0.7494011521339417,unexpectedness: 0.3402317880794702,relevance: 0.2915136240367329
[2021-10-15 03:53:51,935] DEBUG  Finished KNNpopularity, {'k': 20}
[2021-10-15 03:53:52,197] DEBUG  Started KNNpopularity, {'k': 30}
[2021-10-15 03:57:29,895] DEBUG  Recall: 0.08278145695364239,coverage: 0.15893146249325418,novelty: 0.7331822514533997,unexpectedness: 0.5572019867549669,relevance: 0.2880449939637745
[2021-10-15 03:57:29,896] DEBUG  Finished KNNpopularity, {'k': 30}
[2021-10-15 03:57:30,196] DEBUG  Started KNNpopularity, {'k': 40}
[2021-10-15 04:01:21,094] DEBUG  Recall: 0.0836092715231788,coverage: 0.13815434430652995,novelty: 0.7169581651687622,unexpectedness: 0.8029801324503312,relevance: 0.28564876663124517
[2021-10-15 04:01:21,094] DEBUG  Finished KNNpopularity, {'k': 40}
[2021-10-15 04:01:21,355] DEBUG  Started KNNpopularity, {'k': 50}
[2021-10-15 04:05:25,460] DEBUG  Recall: 0.08278145695364239,coverage: 0.12898003237992445,novelty: 0.7042673826217651,unexpectedness: 0.7879966887417218,relevance: 0.28294409393856856
[2021-10-15 04:05:25,460] DEBUG  Finished KNNpopularity, {'k': 50}
[2021-10-15 04:05:25,723] DEBUG  Started KNNpopularity, {'k': 60}
[2021-10-15 04:09:45,041] DEBUG  Recall: 0.0836092715231788,coverage: 0.11575822989746357,novelty: 0.6888561844825745,unexpectedness: 0.7767384105960264,relevance: 0.2808549416492484
[2021-10-15 04:09:45,041] DEBUG  Finished KNNpopularity, {'k': 60}
[2021-10-15 04:09:45,305] DEBUG  Started KNNpopularity, {'k': 70}
[2021-10-15 04:14:16,898] DEBUG  Recall: 0.08526490066225166,coverage: 0.10793308148947653,novelty: 0.6779860854148865,unexpectedness: 0.7793874172185431,relevance: 0.27868624286324983
[2021-10-15 04:14:16,899] DEBUG  Finished KNNpopularity, {'k': 70}
[2021-10-15 04:14:17,159] DEBUG  Started KNNpopularity, {'k': 80}
[2021-10-15 04:19:02,156] DEBUG  Recall: 0.0802980132450331,coverage: 0.10199676200755532,novelty: 0.6645212769508362,unexpectedness: 0.7622516556291391,relevance: 0.2766249023667557
[2021-10-15 04:19:02,156] DEBUG  Finished KNNpopularity, {'k': 80}
[2021-10-15 04:19:02,416] DEBUG  Started KNNpopularity, {'k': 90}
[2021-10-15 04:24:00,873] DEBUG  Recall: 0.0802980132450331,coverage: 0.09579060982191041,novelty: 0.6575667858123779,unexpectedness: 0.768046357615894,relevance: 0.2754018065828818
[2021-10-15 04:24:00,874] DEBUG  Finished KNNpopularity, {'k': 90}
[2021-10-15 04:24:01,132] DEBUG  Started KNNpopularity, {'k': 100}
[2021-10-15 04:29:12,790] DEBUG  Recall: 0.08857615894039735,coverage: 0.09093362115488397,novelty: 0.6488868594169617,unexpectedness: 0.7720198675496688,relevance: 0.2734647038754146
[2021-10-15 04:29:12,790] DEBUG  Finished KNNpopularity, {'k': 100}
[2021-10-15 04:29:13,053] DEBUG  Started KNNpopularity, {'k': 300}
[2021-10-15 04:39:02,598] DEBUG  Recall: 0.06788079470198675,coverage: 0.05558553696708041,novelty: 0.5577728152275085,unexpectedness: 0.7548841059602649,relevance: 0.25630038788377896
[2021-10-15 04:39:02,598] DEBUG  Finished KNNpopularity, {'k': 300}
[2021-10-15 04:39:02,861] DEBUG  Started KNNpopularity, {'k': 500}
[2021-10-15 04:53:18,307] DEBUG  Recall: 0.056291390728476824,coverage: 0.04506206152185645,novelty: 0.5173619985580444,unexpectedness: 0.6628311258278146,relevance: 0.24850541063041742
[2021-10-15 04:53:18,307] DEBUG  Finished KNNpopularity, {'k': 500}
[2021-10-15 04:53:18,572] DEBUG  Started KNNpopularity, {'k': 700}
[2021-10-15 05:12:07,072] DEBUG  Recall: 0.04966887417218543,coverage: 0.03939557474365893,novelty: 0.48225393891334534,unexpectedness: 0.6763245033112583,relevance: 0.24323880568978354
[2021-10-15 05:12:07,074] DEBUG  Finished KNNpopularity, {'k': 700}
[2021-10-15 05:12:07,338] DEBUG  Started KNNpopularity, {'k': 1000}
