[2021-12-19 08:40:21,341] INFO  Dataset: 1m
[2021-12-19 08:50:02,213] DEBUG  Params: k=5, n_comp=20, lambda=1000,Recall: 0.07947019867549669,coverage: 0.18213707501349163,novelty: 0.7533643245697021,unexpectedness: 0.06812913907284769,relevance: 0.2862729509766765
[2021-12-19 08:59:39,216] DEBUG  Params: k=5, n_comp=50, lambda=1000,Recall: 0.08195364238410596,coverage: 0.19535887749595252,novelty: 0.7669699192047119,unexpectedness: 0.06456953642384106,relevance: 0.2862637697967195
[2021-12-19 09:09:34,798] DEBUG  Params: k=5, n_comp=200, lambda=1000,Recall: 0.0802980132450331,coverage: 0.19643820831084727,novelty: 0.7689558863639832,unexpectedness: 0.063658940397351,relevance: 0.2843547201920045
[2021-12-19 09:20:35,542] DEBUG  Params: k=15, n_comp=20, lambda=1000,Recall: 0.07781456953642384,coverage: 0.14867781975175393,novelty: 0.731440544128418,unexpectedness: 0.05728476821192053,relevance: 0.28577693130311155
[2021-12-19 09:31:27,699] DEBUG  Params: k=15, n_comp=50, lambda=1000,Recall: 0.0802980132450331,coverage: 0.16189962223421478,novelty: 0.7474486231803894,unexpectedness: 0.05099337748344371,relevance: 0.2867611488896391
[2021-12-19 09:42:42,363] DEBUG  Params: k=15, n_comp=200, lambda=1000,Recall: 0.07698675496688742,coverage: 0.1616297895304911,novelty: 0.7464134693145752,unexpectedness: 0.05182119205298013,relevance: 0.2832397455593972
[2021-12-19 09:56:01,765] DEBUG  Params: k=100, n_comp=20, lambda=1000,Recall: 0.07864238410596026,coverage: 0.11090124123043713,novelty: 0.6946675181388855,unexpectedness: 0.06258278145695363,relevance: 0.27609261331438617
[2021-12-19 10:09:04,450] DEBUG  Params: k=100, n_comp=50, lambda=1000,Recall: 0.0836092715231788,coverage: 0.11521856449001619,novelty: 0.6995927691459656,unexpectedness: 0.05885761589403973,relevance: 0.27673373761819914
[2021-12-19 10:22:59,643] DEBUG  Params: k=100, n_comp=200, lambda=1000,Recall: 0.07533112582781457,coverage: 0.11359956826767405,novelty: 0.6957374811172485,unexpectedness: 0.05894039735099338,relevance: 0.2732548515440932
