[2021-09-16 02:07:40,783] DEBUG  Recall: 0.0016556291390728477, coverage: 0.007015650296815974, serendipity: 0.9982201986754966
[2021-09-16 02:07:40,783] DEBUG  Finished MatrixFactorization, {'n_components': 1, 'random_state': 42}
[2021-09-16 02:07:42,172] DEBUG  Started MatrixFactorization, {'n_components': 2, 'random_state': 42}
[2021-09-16 02:12:00,608] DEBUG  Recall: 0.0033112582781456954, coverage: 0.11980572045331894, serendipity: 0.9979511589403972
[2021-09-16 02:12:00,609] DEBUG  Finished MatrixFactorization, {'n_components': 2, 'random_state': 42}
[2021-09-16 02:12:02,050] DEBUG  Started MatrixFactorization, {'n_components': 3, 'random_state': 42}
[2021-09-16 02:16:20,131] DEBUG  Recall: 0.0033112582781456954, coverage: 0.1335671883432272, serendipity: 0.996875
[2021-09-16 02:16:20,131] DEBUG  Finished MatrixFactorization, {'n_components': 3, 'random_state': 42}
[2021-09-16 02:16:21,625] DEBUG  Started MatrixFactorization, {'n_components': 4, 'random_state': 42}
[2021-09-16 02:20:38,973] DEBUG  Recall: 0.005794701986754967, coverage: 0.16109012412304372, serendipity: 0.9957160596026489
[2021-09-16 02:20:38,973] DEBUG  Finished MatrixFactorization, {'n_components': 4, 'random_state': 42}
[2021-09-16 02:20:40,513] DEBUG  Started MatrixFactorization, {'n_components': 5, 'random_state': 42}
[2021-09-16 02:25:00,137] DEBUG  Recall: 0.01076158940397351, coverage: 0.16837560712358338, serendipity: 0.9939155629139074
[2021-09-16 02:25:00,137] DEBUG  Finished MatrixFactorization, {'n_components': 5, 'random_state': 42}
[2021-09-16 02:25:01,668] DEBUG  Started MatrixFactorization, {'n_components': 10, 'random_state': 42}
[2021-09-16 02:29:19,688] DEBUG  Recall: 0.018211920529801324, coverage: 0.17889908256880735, serendipity: 0.9900248344370861
[2021-09-16 02:29:19,688] DEBUG  Finished MatrixFactorization, {'n_components': 10, 'random_state': 42}
[2021-09-16 02:29:21,422] DEBUG  Started MatrixFactorization, {'n_components': 20, 'random_state': 42}
[2021-09-16 02:33:40,553] DEBUG  Recall: 0.016556291390728478, coverage: 0.18132757690232057, serendipity: 0.9875413907284767
[2021-09-16 02:33:40,554] DEBUG  Finished MatrixFactorization, {'n_components': 20, 'random_state': 42}
[2021-09-16 02:33:42,720] DEBUG  Started MatrixFactorization, {'n_components': 50, 'random_state': 42}
[2021-09-16 02:38:06,636] DEBUG  Recall: 0.014900662251655629, coverage: 0.18186724230976795, serendipity: 0.9851407284768211
[2021-09-16 02:38:06,637] DEBUG  Finished MatrixFactorization, {'n_components': 50, 'random_state': 42}
[2021-09-16 02:38:09,816] DEBUG  Started MatrixFactorization, {'n_components': 100, 'random_state': 42}
[2021-09-16 02:42:34,912] DEBUG  Recall: 0.016556291390728478, coverage: 0.1770102536427415, serendipity: 0.9848096026490067
[2021-09-16 02:42:34,912] DEBUG  Finished MatrixFactorization, {'n_components': 100, 'random_state': 42}
[2021-09-16 02:42:39,861] DEBUG  Started MatrixFactorization, {'n_components': 200, 'random_state': 42}
[2021-09-16 02:47:06,661] DEBUG  Recall: 0.01903973509933775, coverage: 0.17296276308688613, serendipity: 0.9850579470198676
[2021-09-16 02:47:06,661] DEBUG  Finished MatrixFactorization, {'n_components': 200, 'random_state': 42}
[2021-09-16 02:47:17,705] DEBUG  Started MatrixFactorization, {'n_components': 500, 'random_state': 42}
[2021-09-16 02:51:50,189] DEBUG  Recall: 0.015728476821192054, coverage: 0.17674042093901782, serendipity: 0.985430463576159
[2021-09-16 02:51:50,190] DEBUG  Finished MatrixFactorization, {'n_components': 500, 'random_state': 42}
[2021-09-16 02:52:13,139] DEBUG  Started MatrixFactorization, {'n_components': 1000, 'random_state': 42}
[2021-09-16 02:57:00,334] DEBUG  Recall: 0.016556291390728478, coverage: 0.17674042093901782, serendipity: 0.9849544701986755
[2021-09-16 02:57:00,334] DEBUG  Finished MatrixFactorization, {'n_components': 1000, 'random_state': 42}
[2021-09-16 02:57:00,336] INFO  Grid search ended: MatrixFactorization
[2021-09-16 02:57:00,336] INFO  Saved MatrixFactorization as ./MatrixFactorization.joblib
[2021-09-16 02:57:00,338] INFO  Grid search started: AutoRec
[2021-09-16 02:57:14,712] DEBUG  Started AutoRec, {'hidden_layer_size': 4, 'random_state': 11}
[2021-09-16 02:58:07,303] DEBUG  Recall: 0.015728476821192054, coverage: 0.03211009174311927, serendipity: 0.8367756622516557
[2021-09-16 02:58:07,303] DEBUG  Finished AutoRec, {'hidden_layer_size': 4, 'random_state': 11}
[2021-09-16 02:58:21,216] DEBUG  Started AutoRec, {'hidden_layer_size': 4, 'random_state': 42}
[2021-09-16 02:59:12,583] DEBUG  Recall: 0.018211920529801324, coverage: 0.026173772261198058, serendipity: 0.8371067880794703
[2021-09-16 02:59:12,583] DEBUG  Finished AutoRec, {'hidden_layer_size': 4, 'random_state': 42}
[2021-09-16 02:59:28,536] DEBUG  Started AutoRec, {'hidden_layer_size': 4, 'random_state': 77}
[2021-09-16 03:00:20,183] DEBUG  Recall: 0.018211920529801324, coverage: 0.007825148407987047, serendipity: 0.82903559602649
[2021-09-16 03:00:20,183] DEBUG  Finished AutoRec, {'hidden_layer_size': 4, 'random_state': 77}
[2021-09-16 03:00:34,878] DEBUG  Started AutoRec, {'hidden_layer_size': 8, 'random_state': 11}
[2021-09-16 03:01:27,966] DEBUG  Recall: 0.02152317880794702, coverage: 0.019427954668105773, serendipity: 0.8284354304635762
[2021-09-16 03:01:27,966] DEBUG  Finished AutoRec, {'hidden_layer_size': 8, 'random_state': 11}
[2021-09-16 03:01:48,753] DEBUG  Started AutoRec, {'hidden_layer_size': 8, 'random_state': 42}
[2021-09-16 03:02:42,270] DEBUG  Recall: 0.020695364238410598, coverage: 0.005666486778197518, serendipity: 0.8241514900662252
[2021-09-16 03:02:42,271] DEBUG  Finished AutoRec, {'hidden_layer_size': 8, 'random_state': 42}
[2021-09-16 03:03:01,524] DEBUG  Started AutoRec, {'hidden_layer_size': 8, 'random_state': 77}
[2021-09-16 03:03:54,949] DEBUG  Recall: 0.022350993377483443, coverage: 0.004856988667026443, serendipity: 0.827566225165563
[2021-09-16 03:03:54,949] DEBUG  Finished AutoRec, {'hidden_layer_size': 8, 'random_state': 77}
[2021-09-16 03:04:09,690] DEBUG  Started AutoRec, {'hidden_layer_size': 16, 'random_state': 11}
[2021-09-16 03:05:04,510] DEBUG  Recall: 0.018211920529801324, coverage: 0.04560172692930383, serendipity: 0.8237789735099338
[2021-09-16 03:05:04,510] DEBUG  Finished AutoRec, {'hidden_layer_size': 16, 'random_state': 11}
[2021-09-16 03:05:17,365] DEBUG  Started AutoRec, {'hidden_layer_size': 16, 'random_state': 42}
[2021-09-16 03:06:11,074] DEBUG  Recall: 0.019867549668874173, coverage: 0.042093901780895844, serendipity: 0.8273385761589405
[2021-09-16 03:06:11,074] DEBUG  Finished AutoRec, {'hidden_layer_size': 16, 'random_state': 42}
