[2021-10-13 00:48:34,883] DEBUG  Recall: 0.019867549668874173,coverage: 0.06583917970858068,novelty: 0.7166069746017456,unexpectedness: 0.26647350993377483,relevance: 0.3429669276497045
[2021-10-13 00:48:34,884] DEBUG  Finished AutoRec, {'hidden_layer_size': 256, 'random_state': 11}
[2021-10-13 00:48:48,887] DEBUG  Started AutoRec, {'hidden_layer_size': 256, 'random_state': 42}
[2021-10-13 00:49:37,947] DEBUG  Recall: 0.026490066225165563,coverage: 0.06449001618996222,novelty: 0.712765097618103,unexpectedness: 0.2380794701986755,relevance: 0.3429987148779693
[2021-10-13 00:49:37,947] DEBUG  Finished AutoRec, {'hidden_layer_size': 256, 'random_state': 42}
[2021-10-13 00:49:51,176] DEBUG  Started AutoRec, {'hidden_layer_size': 256, 'random_state': 77}
[2021-10-13 00:50:40,205] DEBUG  Recall: 0.02152317880794702,coverage: 0.07231516459794927,novelty: 0.7209636569023132,unexpectedness: 0.26109271523178806,relevance: 0.34391846701442075
[2021-10-13 00:50:40,206] DEBUG  Finished AutoRec, {'hidden_layer_size': 256, 'random_state': 77}
[2021-10-13 00:50:55,179] DEBUG  Started AutoRec, {'hidden_layer_size': 384, 'random_state': 11}
[2021-10-13 00:51:43,732] DEBUG  Recall: 0.024834437086092714,coverage: 0.06745817593092283,novelty: 0.7276466488838196,unexpectedness: 0.2616721854304636,relevance: 0.3421283284735903
[2021-10-13 00:51:43,732] DEBUG  Finished AutoRec, {'hidden_layer_size': 384, 'random_state': 11}
[2021-10-13 00:51:59,704] DEBUG  Started AutoRec, {'hidden_layer_size': 384, 'random_state': 42}
[2021-10-13 00:52:48,610] DEBUG  Recall: 0.028145695364238412,coverage: 0.06907717215326498,novelty: 0.7392510771751404,unexpectedness: 0.2506622516556291,relevance: 0.3470691138285042
[2021-10-13 00:52:48,610] DEBUG  Finished AutoRec, {'hidden_layer_size': 384, 'random_state': 42}
[2021-10-13 00:53:02,074] DEBUG  Started AutoRec, {'hidden_layer_size': 384, 'random_state': 77}
[2021-10-13 00:53:50,880] DEBUG  Recall: 0.019867549668874173,coverage: 0.06556934700485699,novelty: 0.7113768458366394,unexpectedness: 0.2652317880794702,relevance: 0.340972514210485
[2021-10-13 00:53:50,881] DEBUG  Finished AutoRec, {'hidden_layer_size': 384, 'random_state': 77}
