[2021-10-19 00:07:28,773] DEBUG  Finished AutoRec, {'hidden_layer_size': 16, 'random_state': 77}
[2021-10-19 00:07:41,258] DEBUG  Started AutoRec, {'hidden_layer_size': 64, 'random_state': 11}
[2021-10-19 00:08:27,909] DEBUG  Recall: 0.02566225165562914,coverage: 0.032379924446842956,novelty: 0.6352758407592773,unexpectedness: 0.0052152317880794705,relevance: 0.3236556090083599
[2021-10-19 00:08:27,910] DEBUG  Finished AutoRec, {'hidden_layer_size': 64, 'random_state': 11}
[2021-10-19 00:08:40,353] DEBUG  Started AutoRec, {'hidden_layer_size': 64, 'random_state': 42}
[2021-10-19 00:09:26,943] DEBUG  Recall: 0.019867549668874173,coverage: 0.03291958985429034,novelty: 0.6212059259414673,unexpectedness: 0.0053807947019867556,relevance: 0.32242031220352074
[2021-10-19 00:09:26,944] DEBUG  Finished AutoRec, {'hidden_layer_size': 64, 'random_state': 42}
[2021-10-19 00:09:39,086] DEBUG  Started AutoRec, {'hidden_layer_size': 64, 'random_state': 77}
[2021-10-19 00:10:29,871] DEBUG  Recall: 0.027317880794701987,coverage: 0.03426875337290879,novelty: 0.6348673701286316,unexpectedness: 0.005629139072847683,relevance: 0.3242949635186155
[2021-10-19 00:10:29,871] DEBUG  Finished AutoRec, {'hidden_layer_size': 64, 'random_state': 77}
[2021-10-19 00:10:43,428] DEBUG  Started AutoRec, {'hidden_layer_size': 128, 'random_state': 11}
[2021-10-19 00:11:40,604] DEBUG  Recall: 0.022350993377483443,coverage: 0.0496492174851592,novelty: 0.6666779518127441,unexpectedness: 0.008443708609271523,relevance: 0.3283412259272526
[2021-10-19 00:11:40,605] DEBUG  Finished AutoRec, {'hidden_layer_size': 128, 'random_state': 11}
[2021-10-19 00:11:55,483] DEBUG  Started AutoRec, {'hidden_layer_size': 128, 'random_state': 42}
[2021-10-19 00:12:48,789] DEBUG  Recall: 0.02152317880794702,coverage: 0.05504587155963303,novelty: 0.6882463097572327,unexpectedness: 0.008609271523178808,relevance: 0.33606513316326236
