[2021-09-16 00:55:37,179] DEBUG  Recall: 0.0016556291390728477, coverage: 0.007015650296815974, serendipity: 0.6992880794701988
[2021-09-16 00:55:37,179] DEBUG  Finished MatrixFactorization, {'n_components': 1, 'random_state': 42}
[2021-09-16 00:55:37,863] DEBUG  Started MatrixFactorization, {'n_components': 2, 'random_state': 42}
[2021-09-16 00:59:40,918] DEBUG  Recall: 0.0033112582781456954, coverage: 0.11980572045331894, serendipity: 0.699180463576159
[2021-09-16 00:59:40,918] DEBUG  Finished MatrixFactorization, {'n_components': 2, 'random_state': 42}
[2021-09-16 00:59:41,637] DEBUG  Started MatrixFactorization, {'n_components': 3, 'random_state': 42}
[2021-09-16 01:03:44,758] DEBUG  Recall: 0.0033112582781456954, coverage: 0.1335671883432272, serendipity: 0.6987500000000001
[2021-09-16 01:03:44,759] DEBUG  Finished MatrixFactorization, {'n_components': 3, 'random_state': 42}
[2021-09-16 01:03:45,490] DEBUG  Started MatrixFactorization, {'n_components': 4, 'random_state': 42}
[2021-09-16 01:07:48,574] DEBUG  Recall: 0.005794701986754967, coverage: 0.16109012412304372, serendipity: 0.6982864238410597
[2021-09-16 01:07:48,575] DEBUG  Finished MatrixFactorization, {'n_components': 4, 'random_state': 42}
[2021-09-16 01:07:49,353] DEBUG  Started MatrixFactorization, {'n_components': 5, 'random_state': 42}
[2021-09-16 01:11:52,253] DEBUG  Recall: 0.01076158940397351, coverage: 0.16837560712358338, serendipity: 0.697566225165563
[2021-09-16 01:11:52,253] DEBUG  Finished MatrixFactorization, {'n_components': 5, 'random_state': 42}
[2021-09-16 01:11:52,970] DEBUG  Started MatrixFactorization, {'n_components': 10, 'random_state': 42}
[2021-09-16 01:15:56,028] DEBUG  Recall: 0.018211920529801324, coverage: 0.17889908256880735, serendipity: 0.6960099337748346
[2021-09-16 01:15:56,028] DEBUG  Finished MatrixFactorization, {'n_components': 10, 'random_state': 42}
[2021-09-16 01:15:56,879] DEBUG  Started MatrixFactorization, {'n_components': 20, 'random_state': 42}
[2021-09-16 01:20:00,514] DEBUG  Recall: 0.016556291390728478, coverage: 0.18132757690232057, serendipity: 0.6950165562913908
[2021-09-16 01:20:00,514] DEBUG  Finished MatrixFactorization, {'n_components': 20, 'random_state': 42}
[2021-09-16 01:20:01,536] DEBUG  Started MatrixFactorization, {'n_components': 50, 'random_state': 42}
[2021-09-16 01:24:08,174] DEBUG  Recall: 0.014900662251655629, coverage: 0.18186724230976795, serendipity: 0.6940562913907286
[2021-09-16 01:24:08,174] DEBUG  Finished MatrixFactorization, {'n_components': 50, 'random_state': 42}
[2021-09-16 01:24:09,544] DEBUG  Started MatrixFactorization, {'n_components': 100, 'random_state': 42}
[2021-09-16 01:30:11,647] DEBUG  Recall: 0.016556291390728478, coverage: 0.1770102536427415, serendipity: 0.6939238410596026
[2021-09-16 01:30:11,647] DEBUG  Finished MatrixFactorization, {'n_components': 100, 'random_state': 42}
[2021-09-16 01:30:13,624] DEBUG  Started MatrixFactorization, {'n_components': 200, 'random_state': 42}
[2021-09-16 01:36:28,074] DEBUG  Recall: 0.01903973509933775, coverage: 0.17296276308688613, serendipity: 0.6940231788079471
[2021-09-16 01:36:28,074] DEBUG  Finished MatrixFactorization, {'n_components': 200, 'random_state': 42}
[2021-09-16 01:36:32,336] DEBUG  Started MatrixFactorization, {'n_components': 500, 'random_state': 42}
[2021-09-16 01:42:53,996] DEBUG  Recall: 0.015728476821192054, coverage: 0.17674042093901782, serendipity: 0.6941721854304636
[2021-09-16 01:42:53,996] DEBUG  Finished MatrixFactorization, {'n_components': 500, 'random_state': 42}
[2021-09-16 01:43:02,739] DEBUG  Started MatrixFactorization, {'n_components': 1000, 'random_state': 42}
[2021-09-16 01:49:35,806] DEBUG  Recall: 0.016556291390728478, coverage: 0.17674042093901782, serendipity: 0.6939817880794702
[2021-09-16 01:49:35,806] DEBUG  Finished MatrixFactorization, {'n_components': 1000, 'random_state': 42}
[2021-09-16 01:49:35,808] INFO  Grid search ended: MatrixFactorization
[2021-09-16 01:49:35,808] INFO  Saved MatrixFactorization as ./MatrixFactorization.joblib
[2021-09-16 01:49:35,809] INFO  Grid search started: AutoRec
