[2021-09-16 01:48:53,028] DEBUG  Recall: 0.0016556291390728477, coverage: 0.007015650296815974, serendipity: 0.29228639680469004
[2021-09-16 01:48:53,028] DEBUG  Finished MatrixFactorization, {'n_components': 1, 'random_state': 42}
[2021-09-16 01:48:53,718] DEBUG  Started MatrixFactorization, {'n_components': 2, 'random_state': 42}
[2021-09-16 01:52:56,683] DEBUG  Recall: 0.0033112582781456954, coverage: 0.11980572045331894, serendipity: 0.2607823933946079
[2021-09-16 01:52:56,684] DEBUG  Finished MatrixFactorization, {'n_components': 2, 'random_state': 42}
[2021-09-16 01:52:57,413] DEBUG  Started MatrixFactorization, {'n_components': 3, 'random_state': 42}
[2021-09-16 01:56:59,972] DEBUG  Recall: 0.0033112582781456954, coverage: 0.1335671883432272, serendipity: 0.27613976194608136
[2021-09-16 01:56:59,973] DEBUG  Finished MatrixFactorization, {'n_components': 3, 'random_state': 42}
[2021-09-16 01:57:00,705] DEBUG  Started MatrixFactorization, {'n_components': 4, 'random_state': 42}
[2021-09-16 02:01:03,537] DEBUG  Recall: 0.005794701986754967, coverage: 0.16109012412304372, serendipity: 0.27873800412616884
[2021-09-16 02:01:03,537] DEBUG  Finished MatrixFactorization, {'n_components': 4, 'random_state': 42}
[2021-09-16 02:01:04,312] DEBUG  Started MatrixFactorization, {'n_components': 5, 'random_state': 42}
[2021-09-16 02:05:06,900] DEBUG  Recall: 0.01076158940397351, coverage: 0.16837560712358338, serendipity: 0.285729611862802
[2021-09-16 02:05:06,900] DEBUG  Finished MatrixFactorization, {'n_components': 5, 'random_state': 42}
[2021-09-16 02:05:07,608] DEBUG  Started MatrixFactorization, {'n_components': 10, 'random_state': 42}
[2021-09-16 02:09:10,358] DEBUG  Recall: 0.018211920529801324, coverage: 0.17889908256880735, serendipity: 0.29973130093405814
[2021-09-16 02:09:10,358] DEBUG  Finished MatrixFactorization, {'n_components': 10, 'random_state': 42}
[2021-09-16 02:09:11,173] DEBUG  Started MatrixFactorization, {'n_components': 20, 'random_state': 42}
[2021-09-16 02:13:14,488] DEBUG  Recall: 0.016556291390728478, coverage: 0.18132757690232057, serendipity: 0.3049674316271492
[2021-09-16 02:13:14,488] DEBUG  Finished MatrixFactorization, {'n_components': 20, 'random_state': 42}
[2021-09-16 02:13:15,493] DEBUG  Started MatrixFactorization, {'n_components': 50, 'random_state': 42}
[2021-09-16 02:17:22,902] DEBUG  Recall: 0.014900662251655629, coverage: 0.18186724230976795, serendipity: 0.30526031219855654
[2021-09-16 02:17:22,902] DEBUG  Finished MatrixFactorization, {'n_components': 50, 'random_state': 42}
[2021-09-16 02:17:24,299] DEBUG  Started MatrixFactorization, {'n_components': 100, 'random_state': 42}
[2021-09-16 02:23:31,086] DEBUG  Recall: 0.016556291390728478, coverage: 0.1770102536427415, serendipity: 0.3039279064065018
[2021-09-16 02:23:31,086] DEBUG  Finished MatrixFactorization, {'n_components': 100, 'random_state': 42}
[2021-09-16 02:23:33,105] DEBUG  Started MatrixFactorization, {'n_components': 200, 'random_state': 42}
[2021-09-16 02:29:48,003] DEBUG  Recall: 0.01903973509933775, coverage: 0.17296276308688613, serendipity: 0.30439872520881833
[2021-09-16 02:29:48,003] DEBUG  Finished MatrixFactorization, {'n_components': 200, 'random_state': 42}
[2021-09-16 02:29:52,349] DEBUG  Started MatrixFactorization, {'n_components': 500, 'random_state': 42}
[2021-09-16 02:36:13,167] DEBUG  Recall: 0.015728476821192054, coverage: 0.17674042093901782, serendipity: 0.30174492270272774
