[2021-09-23 11:45:28,434] DEBUG  Finished MatrixFactorization, {'n_components': 50, 'random_state': 42}
[2021-09-23 11:45:29,802] DEBUG  Started MatrixFactorization, {'n_components': 100, 'random_state': 42}
[2021-09-23 11:48:39,186] DEBUG  Recall: 0.0173841059602649, coverage: 0.17647058823529413, serendipity: 0.38155594180624325
[2021-09-23 11:48:39,186] DEBUG  Finished MatrixFactorization, {'n_components': 100, 'random_state': 42}
[2021-09-23 11:48:41,381] DEBUG  Started MatrixFactorization, {'n_components': 200, 'random_state': 42}
[2021-09-23 11:51:50,690] DEBUG  Recall: 0.01903973509933775, coverage: 0.17242309767943875, serendipity: 0.40219315754923346
[2021-09-23 11:51:50,690] DEBUG  Finished MatrixFactorization, {'n_components': 200, 'random_state': 42}
[2021-09-23 11:51:54,846] DEBUG  Started MatrixFactorization, {'n_components': 500, 'random_state': 42}
[2021-09-23 11:55:04,239] DEBUG  Recall: 0.016556291390728478, coverage: 0.17754991905018888, serendipity: 0.40853487409859285
[2021-09-23 11:55:04,239] DEBUG  Finished MatrixFactorization, {'n_components': 500, 'random_state': 42}
[2021-09-23 11:55:12,674] DEBUG  Started MatrixFactorization, {'n_components': 1000, 'random_state': 42}
[2021-09-23 11:58:22,721] DEBUG  Recall: 0.016556291390728478, coverage: 0.1762007555315704, serendipity: 0.4120257191522308
[2021-09-23 11:58:22,721] DEBUG  Finished MatrixFactorization, {'n_components': 1000, 'random_state': 42}
[2021-09-23 11:58:43,189] DEBUG  Started MatrixFactorization, {'n_components': 2000, 'random_state': 42}
[2021-09-23 12:01:53,676] DEBUG  Recall: 0.01903973509933775, coverage: 0.17647058823529413, serendipity: 0.4143803922467569
[2021-09-23 12:01:53,676] DEBUG  Finished MatrixFactorization, {'n_components': 2000, 'random_state': 42}
[2021-09-23 12:01:53,683] INFO  Grid search ended: MatrixFactorization
[2021-09-23 12:01:53,684] INFO  Saved MatrixFactorization as .\results\no_ser_params_minnov\MatrixFactorization.joblib
[2021-09-23 12:01:53,686] INFO  Grid search started: AutoRec
[2021-09-23 12:02:02,780] DEBUG  Started AutoRec, {'hidden_layer_size': 8, 'random_state': 11}
[2021-09-23 12:02:41,634] DEBUG  Recall: 0.02152317880794702, coverage: 0.019427954668105773, serendipity: 0.40208668134193937
[2021-09-23 12:02:41,634] DEBUG  Finished AutoRec, {'hidden_layer_size': 8, 'random_state': 11}
[2021-09-23 12:02:51,254] DEBUG  Started AutoRec, {'hidden_layer_size': 8, 'random_state': 42}
[2021-09-23 12:03:30,002] DEBUG  Recall: 0.01903973509933775, coverage: 0.008634646519158122, serendipity: 0.40111020291236604
[2021-09-23 12:03:30,003] DEBUG  Finished AutoRec, {'hidden_layer_size': 8, 'random_state': 42}
[2021-09-23 12:03:40,404] DEBUG  Started AutoRec, {'hidden_layer_size': 8, 'random_state': 77}
[2021-09-23 12:04:19,182] DEBUG  Recall: 0.023178807947019868, coverage: 0.005396654074473826, serendipity: 0.4011357269227013
[2021-09-23 12:04:19,182] DEBUG  Finished AutoRec, {'hidden_layer_size': 8, 'random_state': 77}
[2021-09-23 12:04:28,023] DEBUG  Started AutoRec, {'hidden_layer_size': 16, 'random_state': 11}
[2021-09-23 12:05:06,889] DEBUG  Recall: 0.018211920529801324, coverage: 0.04479222881813276, serendipity: 0.40077912321910825
[2021-09-23 12:05:06,889] DEBUG  Finished AutoRec, {'hidden_layer_size': 16, 'random_state': 11}
[2021-09-23 12:05:14,860] DEBUG  Started AutoRec, {'hidden_layer_size': 16, 'random_state': 42}
